winter_year,NAO_DJF,EA_DJF,EAWR_DJF,SCA_DJF
1961,0.0033333333333333,-0.7200000000000001,-0.7666666666666666,0.5399999999999999
1962,-0.36,-0.2333333333333332,-0.3333333333333333,-0.3066666666666667
1963,-1.94,-1.57,-0.4133333333333333,-0.4233333333333333
1964,-1.8500000000000003,-0.4433333333333333,0.6966666666666668,-0.5433333333333333
1965,-1.0266666666666666,-2.3766666666666665,0.2733333333333333,0.4466666666666666
1966,-1.1266666666666667,0.71,-0.5466666666666666,0.3733333333333333
1967,-0.4000000000000001,-1.0433333333333332,-0.2633333333333333,1.3266666666666669
1968,-0.9266666666666666,-2.043333333333333,-0.08,-0.91
1969,-1.6900000000000002,-0.79,-0.8433333333333334,1.32
1970,-0.7766666666666667,-0.5766666666666667,-0.75,0.5299999999999999
1971,-1.0633333333333332,-0.4766666666666666,-0.1266666666666666,0.22
1972,0.0666666666666666,-0.8166666666666665,0.3733333333333333,1.623333333333333
1973,0.05,0.0733333333333333,-0.0133333333333333,0.5666666666666665
1974,0.22,-0.8266666666666667,-0.5066666666666667,0.0733333333333333
1975,0.1066666666666666,-0.3766666666666666,0.5366666666666667,0.5133333333333333
1976,-0.0933333333333333,-2.25,0.7966666666666667,-0.7266666666666667
1977,-1.43,0.28,-1.3333333333333333,1.28
1978,-1.2333333333333334,0.1866666666666666,-0.4266666666666667,0.41
1979,-1.62,0.6,-0.2333333333333333,0.1633333333333333
1980,-0.31,-0.09,0.0666666666666666,0.5366666666666666
1981,0.3833333333333333,-1.586666666666667,-0.7299999999999999,-0.5566666666666666
1982,-0.2666666666666667,0.0899999999999999,0.0,-0.17
1983,0.62,-0.6000000000000001,0.6,-0.38
1984,0.6566666666666666,-0.2333333333333333,-1.606666666666667,-0.34
1985,-1.1566666666666665,-0.7000000000000001,0.0333333333333333,1.0166666666666666
1986,-0.23,-0.4166666666666667,-0.4100000000000001,0.3866666666666666
1987,-0.7633333333333333,0.6566666666666666,0.7366666666666667,0.0499999999999999
1988,0.4366666666666667,0.3699999999999999,-0.4366666666666667,-0.0199999999999999
1989,1.05,-0.0866666666666666,0.5533333333333333,-1.143333333333333
1990,0.2366666666666666,1.0533333333333337,0.0366666666666666,-1.0333333333333334
1991,0.4466666666666666,0.0966666666666666,-0.1233333333333333,0.5233333333333333
1992,0.15,-0.6766666666666667,1.8,-0.0133333333333333
1993,0.6066666666666668,-0.4133333333333334,0.9433333333333334,-0.47
1994,0.7133333333333334,0.42,-0.34,0.3233333333333333
1995,1.0666666666666669,0.6966666666666667,-0.12,-0.2733333333333334
1996,-0.9366666666666666,-0.36,-0.3566666666666667,0.5833333333333333
1997,-0.3333333333333333,-0.1966666666666666,0.49,-0.33
1998,-0.5333333333333333,1.07,1.1766666666666667,0.2133333333333333
1999,0.3333333333333333,-0.4133333333333333,-0.71,-0.89
2000,1.0233333333333332,-0.3666666666666667,-0.06,-0.84
2001,-0.26,0.9233333333333332,-0.5,0.7733333333333333
2002,-0.0199999999999999,0.7399999999999999,0.1999999999999999,-0.5433333333333333
2003,-0.34,0.5466666666666667,0.6933333333333334,0.6666666666666666
2004,-0.3166666666666666,-0.2066666666666666,0.1966666666666666,-0.4433333333333333
2005,0.5933333333333334,-1.64,-0.11,0.17
2006,-0.1833333333333333,-0.9466666666666668,-0.1666666666666666,1.0566666666666666
2007,-0.0266666666666666,1.3966666666666665,0.6833333333333332,-0.61
2008,0.38,0.0,-0.08,0.2266666666666666
2009,-0.4166666666666667,-0.3433333333333333,-1.32,0.3233333333333333
2010,-2.123333333333333,0.8533333333333334,-0.7966666666666667,1.0433333333333332
2011,-0.9933333333333332,-0.4633333333333334,-0.5966666666666667,0.2199999999999999
2012,1.0466666666666666,-1.1266666666666667,-0.5333333333333333,0.48
2013,-0.3333333333333333,0.5666666666666668,-0.5666666666666667,1.0266666666666666
2014,0.5633333333333334,1.6,-1.2033333333333334,0.7066666666666667
2015,1.4166666666666667,0.16,-0.5333333333333333,-0.3166666666666666
2016,0.99,2.0,-0.5366666666666667,-0.38
2017,0.3633333333333333,0.1,1.096666666666667,-0.1133333333333332
2018,1.08,-0.4433333333333333,-1.55,0.13
2019,0.1833333333333333,-0.1166666666666666,0.2466666666666666,0.2866666666666667
2020,1.0166666666666666,1.3099999999999998,0.25,-0.7999999999999999
2021,-0.82,0.1266666666666666,-0.54,0.9833333333333334
2022,0.7933333333333333,-0.42,0.05,-0.8933333333333332
2023,0.4433333333333333,-0.6066666666666667,-0.0733333333333332,0.3133333333333333
2024,0.7399999999999999,1.93,0.14,-0.3633333333333333
2025,0.4233333333333333,1.09,-0.3566666666666667,0.0099999999999999
2026,-0.43,0.8766666666666666,-0.7133333333333334,0.2933333333333333
