gauge_id,n_valid,first,last,yrs_valid_post1983
camelsdk_220053,11322,1989-01-01,2019-12-31,31.0
camelsdk_220062,11322,1989-01-01,2019-12-31,31.0
camelsdk_230055,10773,1989-01-01,2018-06-30,29.5
camelsdk_230087,7669,1989-01-01,2019-12-31,21.0
camelsdk_240001,10227,1989-01-01,2019-12-31,28.0
camelsdk_240002,5479,1989-01-01,2008-12-31,15.0
camelsdk_240003,6574,1989-01-01,2006-12-31,18.0
camelsdk_240004,6574,1989-01-01,2006-12-31,18.0
camelsdk_250018,9693,1989-01-01,2016-12-31,26.5
camelsdk_250019,6454,1989-01-01,2019-12-31,17.7
camelsdk_250020,11322,1989-01-01,2019-12-31,31.0
camelsdk_250021,11322,1989-01-01,2019-12-31,31.0
camelsdk_250075,11322,1989-01-01,2019-12-31,31.0
camelsdk_250078,11322,1989-01-01,2019-12-31,31.0
camelsdk_250082,11322,1989-01-01,2019-12-31,31.0
camelsdk_250086,11322,1989-01-01,2019-12-31,31.0
camelsdk_250087,8400,1989-01-01,2019-12-31,23.0
camelsdk_250090,6209,1989-01-01,2005-12-31,17.0
camelsdk_250091,7304,1989-01-01,2019-12-31,20.0
camelsdk_250092,6209,1989-01-01,2005-12-31,17.0
camelsdk_250097,8400,1993-01-01,2019-12-31,23.0
camelsdk_250733,6606,2001-11-30,2019-12-31,18.1
camelsdk_250734,6253,2001-12-01,2019-12-31,17.1
camelsdk_260037,9847,1989-01-01,2015-12-31,27.0
camelsdk_260080,11322,1989-01-01,2019-12-31,31.0
camelsdk_260082,11322,1989-01-01,2019-12-31,31.0
camelsdk_260096,11322,1989-01-01,2019-12-31,31.0
camelsdk_270002,10151,1989-01-01,2019-12-31,27.8
camelsdk_270003,9496,1989-01-01,2019-12-31,26.0
camelsdk_270004,11322,1989-01-01,2019-12-31,31.0
camelsdk_270021,7669,1989-01-01,2019-12-31,21.0
camelsdk_270035,9813,1989-01-01,2019-12-31,26.9
camelsdk_270045,11322,1989-01-01,2019-12-31,31.0
camelsdk_280001,11322,1989-01-01,2019-12-31,31.0
camelsdk_290009,11322,1989-01-01,2019-12-31,31.0
camelsdk_300013,8078,1989-01-01,2017-12-31,22.1
camelsdk_300016,6086,1994-03-16,2010-11-28,16.7
camelsdk_30002,11322,1989-01-01,2019-12-31,31.0
camelsdk_30003,11322,1989-01-01,2019-12-31,31.0
camelsdk_310016,7313,1989-01-01,2019-12-31,20.0
camelsdk_310017,10592,1989-01-01,2017-12-31,29.0
camelsdk_310021,9513,1989-01-01,2019-12-31,26.0
camelsdk_310023,7304,1989-01-01,2019-12-31,20.0
camelsdk_310027,11322,1989-01-01,2019-12-31,31.0
camelsdk_310032,10957,1990-01-01,2019-12-31,30.0
camelsdk_310114,1873,2004-01-01,2010-02-15,5.1
camelsdk_310116,2192,2004-01-01,2009-12-31,6.0
camelsdk_320001,11322,1989-01-01,2019-12-31,31.0
camelsdk_320004,11322,1989-01-01,2019-12-31,31.0
camelsdk_320013,11322,1989-01-01,2019-12-31,31.0
camelsdk_320022,11322,1989-01-01,2019-12-31,31.0
camelsdk_330004,11322,1989-01-01,2019-12-31,31.0
camelsdk_340002,11322,1989-01-01,2019-12-31,31.0
camelsdk_340003,11322,1989-01-01,2019-12-31,31.0
camelsdk_340019,11322,1989-01-01,2019-12-31,31.0
camelsdk_340023,10592,1991-01-01,2019-12-31,29.0
camelsdk_350006,11322,1989-01-01,2019-12-31,31.0
camelsdk_350010,11322,1989-01-01,2019-12-31,31.0
camelsdk_360008,11322,1989-01-01,2019-12-31,31.0
camelsdk_360009,10957,1990-01-01,2019-12-31,30.0
camelsdk_360011,7715,1989-01-01,2010-02-14,21.1
camelsdk_360015,8039,1989-01-01,2015-12-31,22.0
camelsdk_360016,7884,1989-01-01,2015-12-31,21.6
camelsdk_370011,11322,1989-01-01,2019-12-31,31.0
camelsdk_370034,10592,1990-01-01,2018-12-31,29.0
camelsdk_370037,7717,1989-01-01,2010-02-16,21.1
camelsdk_370038,11322,1989-01-01,2019-12-31,31.0
camelsdk_370039,8843,1989-01-01,2019-12-31,24.2
camelsdk_380020,11322,1989-01-01,2019-12-31,31.0
camelsdk_380023,11322,1989-01-01,2019-12-31,31.0
camelsdk_380024,11322,1989-01-01,2019-12-31,31.0
camelsdk_380097,9228,1989-10-13,2019-12-31,25.3
camelsdk_390001,11322,1989-01-01,2019-12-31,31.0
camelsdk_390002,11322,1989-01-01,2019-12-31,31.0
camelsdk_40002,10113,1989-01-01,2018-12-31,27.7
camelsdk_400024,11322,1989-01-01,2019-12-31,31.0
camelsdk_410012,11322,1989-01-01,2019-12-31,31.0
camelsdk_410014,11322,1989-01-01,2019-12-31,31.0
camelsdk_410016,11322,1989-01-01,2019-12-31,31.0
camelsdk_410017,6209,1989-01-01,2005-12-31,17.0
camelsdk_410020,9928,1992-10-26,2019-12-31,27.2
camelsdk_410023,7338,1990-01-01,2010-02-02,20.1
camelsdk_420014,11322,1989-01-01,2019-12-31,31.0
camelsdk_420016,11322,1989-01-01,2019-12-31,31.0
camelsdk_420020,11322,1989-01-01,2019-12-31,31.0
camelsdk_420021,11322,1989-01-01,2019-12-31,31.0
camelsdk_420022,10957,1990-01-01,2019-12-31,30.0
camelsdk_420074,11322,1989-01-01,2019-12-31,31.0
camelsdk_430001,11322,1989-01-01,2019-12-31,31.0
camelsdk_430003,9536,1989-01-01,2019-12-31,26.1
camelsdk_430007,8089,1989-01-01,2019-12-31,22.1
camelsdk_440020,7304,1989-01-01,2019-12-31,20.0
camelsdk_440021,11322,1989-01-01,2019-12-31,31.0
camelsdk_450001,11322,1989-01-01,2019-12-31,31.0
camelsdk_450002,11322,1989-01-01,2019-12-31,31.0
camelsdk_450003,11322,1989-01-01,2019-12-31,31.0
camelsdk_450004,11322,1989-01-01,2019-12-31,31.0
camelsdk_450005,11322,1989-01-01,2019-12-31,31.0
camelsdk_450043,11322,1989-01-01,2019-12-31,31.0
camelsdk_450045,11322,1989-01-01,2019-12-31,31.0
camelsdk_450058,11322,1989-01-01,2019-12-31,31.0
camelsdk_450080,5843,1989-01-01,2005-12-31,16.0
camelsdk_460001,11322,1989-01-01,2019-12-31,31.0
camelsdk_460017,11322,1989-01-01,2019-12-31,31.0
camelsdk_460020,7304,1989-01-01,2019-12-31,20.0
camelsdk_460030,10957,1989-01-01,2018-12-31,30.0
camelsdk_470001,11322,1989-01-01,2019-12-31,31.0
camelsdk_470035,5843,1989-01-01,2005-12-31,16.0
camelsdk_470036,11322,1989-01-01,2019-12-31,31.0
camelsdk_470037,11322,1989-01-01,2019-12-31,31.0
camelsdk_480004,10957,1990-01-01,2019-12-31,30.0
camelsdk_480007,11322,1989-01-01,2019-12-31,31.0
camelsdk_480010,10957,1990-01-01,2019-12-31,30.0
camelsdk_490054,11322,1989-01-01,2019-12-31,31.0
camelsdk_490057,11322,1989-01-01,2019-12-31,31.0
camelsdk_490059,6209,1989-01-01,2005-12-31,17.0
camelsdk_490061,11267,1989-01-01,2019-12-31,30.8
camelsdk_490066,11322,1989-01-01,2019-12-31,31.0
camelsdk_490082,4876,1993-10-01,2015-12-31,13.3
camelsdk_490092,3672,2001-01-01,2015-12-31,10.1
camelsdk_490094,6939,2001-01-01,2019-12-31,19.0
camelsdk_50003,11322,1989-01-01,2019-12-31,31.0
camelsdk_500046,10957,1989-01-01,2018-12-31,30.0
camelsdk_500051,11322,1989-01-01,2019-12-31,31.0
camelsdk_500056,11322,1989-01-01,2019-12-31,31.0
camelsdk_500057,11322,1989-01-01,2019-12-31,31.0
camelsdk_510001,6574,1989-01-01,2019-12-31,18.0
camelsdk_510002,9562,1989-01-01,2019-12-31,26.2
camelsdk_510018,6209,1989-01-01,2005-12-31,17.0
camelsdk_510020,11322,1989-01-01,2019-12-31,31.0
camelsdk_510022,5113,1989-01-01,2005-12-31,14.0
camelsdk_510024,11322,1989-01-01,2019-12-31,31.0
camelsdk_510025,6209,1989-01-01,2005-12-31,17.0
camelsdk_510026,10171,1989-01-01,2019-12-31,27.8
camelsdk_510047,4540,1993-07-26,2005-12-31,12.4
camelsdk_520020,11322,1989-01-01,2019-12-31,31.0
camelsdk_520022,7670,1989-01-01,2009-12-31,21.0
camelsdk_520025,11322,1989-01-01,2019-12-31,31.0
camelsdk_520029,11322,1989-01-01,2019-12-31,31.0
camelsdk_520035,6209,1989-01-01,2005-12-31,17.0
camelsdk_520039,11322,1989-01-01,2019-12-31,31.0
camelsdk_520063,11322,1989-01-01,2019-12-31,31.0
camelsdk_520064,8035,1989-01-01,2017-12-31,22.0
camelsdk_520068,11322,1989-01-01,2019-12-31,31.0
camelsdk_520069,6732,1989-01-01,2008-07-14,18.4
camelsdk_520070,6754,1989-01-01,2008-07-13,18.5
camelsdk_520076,6718,1989-01-01,2008-01-23,18.4
camelsdk_520088,6688,1989-01-01,2008-01-23,18.3
camelsdk_520089,6678,1989-01-01,2008-01-12,18.3
camelsdk_520198,11322,1989-01-01,2019-12-31,31.0
camelsdk_520199,7979,1998-02-26,2019-12-31,21.8
camelsdk_530010,11322,1989-01-01,2019-12-31,31.0
camelsdk_530011,11322,1989-01-01,2019-12-31,31.0
camelsdk_530028,10761,1990-07-16,2019-12-31,29.5
camelsdk_530042,6230,1991-01-01,2008-01-21,17.1
camelsdk_530054,4402,1995-04-06,2008-01-23,12.1
camelsdk_530095,2192,2000-01-01,2005-12-31,6.0
camelsdk_540002,10592,1990-01-01,2018-12-31,29.0
camelsdk_550015,11322,1989-01-01,2019-12-31,31.0
camelsdk_550017,11322,1989-01-01,2019-12-31,31.0
camelsdk_550018,11322,1989-01-01,2019-12-31,31.0
camelsdk_560001,10957,1989-01-01,2018-12-31,30.0
camelsdk_560002,11322,1989-01-01,2019-12-31,31.0
camelsdk_560003,10957,1989-01-01,2018-12-31,30.0
camelsdk_560005,10956,1989-01-01,2018-12-31,30.0
camelsdk_560006,11322,1989-01-01,2019-12-31,31.0
camelsdk_560007,11322,1989-01-01,2019-12-31,31.0
camelsdk_560009,4748,1989-01-01,2005-12-31,13.0
camelsdk_570044,11321,1989-01-01,2019-12-31,31.0
camelsdk_570049,10957,1989-01-01,2018-12-31,30.0
camelsdk_570050,11322,1989-01-01,2019-12-31,31.0
camelsdk_570052,11322,1989-01-01,2019-12-31,31.0
camelsdk_570053,7927,1989-01-01,2019-12-31,21.7
camelsdk_570054,7304,1989-01-01,2019-12-31,20.0
camelsdk_570055,10957,1989-01-01,2018-12-31,30.0
camelsdk_570056,5844,1989-01-01,2005-12-31,16.0
camelsdk_570057,6946,1989-01-01,2017-12-31,19.0
camelsdk_570058,10957,1989-01-01,2018-12-31,30.0
camelsdk_570059,7698,1989-01-01,2019-12-31,21.1
camelsdk_570060,6209,1989-01-01,2005-12-31,17.0
camelsdk_570063,9496,1993-01-01,2018-12-31,26.0
camelsdk_570066,6573,1989-01-01,2019-12-31,18.0
camelsdk_570068,6205,1989-01-01,2019-12-31,17.0
camelsdk_570179,2136,2004-02-26,2009-12-31,5.8
camelsdk_580047,11322,1989-01-01,2019-12-31,31.0
camelsdk_590005,7304,1989-01-01,2019-12-31,20.0
camelsdk_590006,11322,1989-01-01,2019-12-31,31.0
camelsdk_590008,6209,1989-01-01,2005-12-31,17.0
camelsdk_590009,6590,1989-01-01,2007-01-16,18.0
camelsdk_590010,6575,1989-01-01,2007-01-01,18.0
camelsdk_60001,11322,1989-01-01,2019-12-31,31.0
camelsdk_600024,6591,1989-01-01,2007-01-17,18.0
camelsdk_600028,6209,1989-01-01,2005-12-31,17.0
camelsdk_600029,9123,1989-01-01,2019-12-31,25.0
camelsdk_600031,11322,1989-01-01,2019-12-31,31.0
camelsdk_600032,6086,1989-01-01,2005-12-31,16.7
camelsdk_600034,5920,1989-06-14,2005-12-31,16.2
camelsdk_600035,11322,1989-01-01,2019-12-31,31.0
camelsdk_600036,11322,1989-01-01,2019-12-31,31.0
camelsdk_600037,7670,1989-01-01,2019-12-31,21.0
camelsdk_610010,6200,1989-01-01,2005-12-31,17.0
camelsdk_610011,7683,1989-01-01,2019-12-31,21.0
camelsdk_610012,10588,1989-01-01,2019-12-31,29.0
camelsdk_610013,10957,1989-01-01,2018-12-31,30.0
camelsdk_610015,6204,1989-01-01,2005-12-31,17.0
camelsdk_620011,6574,1989-01-01,2006-12-31,18.0
camelsdk_620012,11322,1989-01-01,2019-12-31,31.0
camelsdk_620015,11322,1989-01-01,2019-12-31,31.0
camelsdk_620017,11322,1989-01-01,2019-12-31,31.0
camelsdk_620022,11322,1989-01-01,2019-12-31,31.0
camelsdk_630007,9748,1989-01-01,2019-12-31,26.7
camelsdk_640025,11322,1989-01-01,2019-12-31,31.0
camelsdk_650001,10957,1989-01-01,2018-12-31,30.0
camelsdk_660014,11322,1989-01-01,2019-12-31,31.0
camelsdk_670017,11322,1989-01-01,2019-12-31,31.0
camelsdk_670018,11322,1989-01-01,2019-12-31,31.0
camelsdk_70003,11322,1989-01-01,2019-12-31,31.0
camelsdk_80001,11322,1989-01-01,2019-12-31,31.0
camelsdk_90001,11322,1989-01-01,2019-12-31,31.0
camelsdk_90015,11322,1989-01-01,2019-12-31,31.0
camelsdk_90021,9971,1989-01-01,2019-12-31,27.3
camelsdk_90022,5430,1995-02-18,2019-12-31,14.9
