response,predictor,beta_std,se_clustered,t,p_wild_bootstrap,q_bh
log_tau_obs,clay_pc,-0.09113055141227316,0.11647105276746972,-0.7824309066237431,0.5755,0.6906000000000001
log_tau_obs,gwt_l,0.2869429006288727,0.13723202342106006,2.090932520527403,0.006,0.035
log_tau_obs,karst_pc,0.1546365283830334,0.08814121225710131,1.754417989305278,0.015,0.035
logit_ac1_obs,aridity,0.28844034503790505,0.06529481756551106,4.4175074805670365,0.0055,0.0165
logit_ac1_obs,frac_snow,0.41298345018534915,0.10059108673078672,4.105567039857342,0.0255,0.051
logit_ac1_obs,slope_l,-0.6393540567784247,0.11462784655908052,-5.577650422394476,0.0045,0.0165
logit_ac1_obs,clay_pc,-0.12554936021746915,0.09034843959080208,-1.3896129339487864,0.249,0.249
logit_ac1_obs,gwt_l,0.20128990848835338,0.09342912329878829,2.1544664166934764,0.0775,0.11624999999999999
logit_ac1_obs,karst_pc,0.13280306777761655,0.08762029473622722,1.515665613513489,0.2425,0.249
reg_lag,aridity,0.03224438967575389,0.13754312725863282,0.23443112221174311,0.8845,0.9685
reg_lag,frac_snow,0.8621901761210946,0.30192039125825015,2.8556871317234513,0.0815,0.489
reg_lag,slope_l,-0.18255152547352843,0.5112849021521677,-0.3570446236630664,0.793,0.9685
reg_lag,clay_pc,0.19359185501234571,0.19880486998959498,0.9737782330104785,0.475,0.9499999999999998
reg_lag,gwt_l,0.5033314325142172,0.41188188368872664,1.2220285777235158,0.293,0.879
reg_lag,karst_pc,-0.006361397742678337,0.10197932843750428,-0.06237928647055933,0.9685,0.9685
logit_late,aridity,-0.04442954512573365,0.2204787266026539,-0.20151397738161123,0.9,0.9899999999999999
logit_late,frac_snow,1.2153020682768196,0.4388795976068492,2.769101309114611,0.0915,0.539
logit_late,slope_l,0.011247056657368127,0.6482662241537155,0.017349441075772055,0.99,0.9899999999999999
logit_late,clay_pc,0.1087582044047326,0.2380000533274853,0.4569671430076639,0.809,0.9899999999999999
logit_late,gwt_l,0.6002376556112616,0.49144730859255453,1.221367265862681,0.2695,0.539
logit_late,karst_pc,0.1208368809022126,0.060750490437137185,1.9890684014683149,0.247,0.539
reg_lag_obs,aridity,0.05280214820081256,0.14532308628075713,0.36334315181554416,0.7905,0.9486000000000001
reg_lag_obs,frac_snow,0.718956202141257,0.28561702806399425,2.5172035680595712,0.1255,0.3765
reg_lag_obs,slope_l,0.028161325022086563,0.4763531291504824,0.059118589337932646,0.972,0.972
reg_lag_obs,clay_pc,0.4506814700834336,0.24477302856280347,1.8412219382569697,0.122,0.3765
reg_lag_obs,gwt_l,0.3949190100829573,0.3240624857008916,1.2186508081267575,0.2885,0.577
reg_lag_obs,karst_pc,-0.0795156196626764,0.10173117561340266,-0.7816248970212485,0.582,0.873
logit_late_obs,aridity,0.09557497672159271,0.23676979305388804,0.40366203597534145,0.783,0.783
logit_late_obs,frac_snow,1.1854086704747013,0.4937157806247576,2.4009940880857847,0.156,0.6615
logit_late_obs,slope_l,0.2766335286071253,0.5697252596753442,0.4855560182898752,0.697,0.783
logit_late_obs,clay_pc,0.40975544605068653,0.4048492136638616,1.012118665965592,0.3975,0.6615
logit_late_obs,gwt_l,0.35531781302628634,0.33664416874089953,1.0554699769647848,0.3635,0.6615
logit_late_obs,karst_pc,-0.15459789093782492,0.1969953740537346,-0.7847792958613085,0.441,0.6615
